Serial Number,NZDT,Latitude,Longitude,GPS Heading,GPS Speed
004-0009-00481,16/10/20 17:27:15,-37.5534473,175.4591806,11,0.938258182
004-0009-00481,16/10/20 17:27:14,-37.5534555,175.4591781,3,1.627387463
004-0009-00481,16/10/20 17:27:13,-37.5534701,175.4591769,359,1.680147078
004-0009-00481,16/10/20 17:27:12,-37.5534852,175.4591774,6,0.614859499
004-0009-00481,16/10/20 17:27:10,-37.5534962,175.459176,3,1.594697853
004-0009-00481,16/10/20 17:27:09,-37.5535105,175.4591747,2,1.21559661
004-0009-00481,16/10/20 17:27:08,-37.5535214,175.4591737,1,0.78992803
004-0009-00481,16/10/20 17:27:06,-37.5535356,175.4591733,1,1.668447498
004-0009-00481,16/10/20 17:27:05,-37.5535506,175.4591733,358,1.061950136
004-0009-00481,16/10/20 17:27:04,-37.5535601,175.4591745,4,1.549123879
004-0009-00481,16/10/20 17:27:03,-37.553574,175.4591734,3,0.769011401
004-0009-00481,16/10/20 17:27:01,-37.5535878,175.4591723,1,1.524255462
004-0009-00481,16/10/20 17:27:00,-37.5536015,175.4591719,357,1.134680888
004-0009-00481,16/10/20 17:26:59,-37.5536117,175.4591721,3,1.04855764
004-0009-00481,16/10/20 17:26:58,-37.5536211,175.4591712,2,1.704091544
004-0009-00481,16/10/20 17:26:57,-37.5536364,175.4591702,2,0.77549925
004-0009-00481,16/10/20 17:26:55,-37.5536503,175.4591688,358,1.601709599
004-0009-00481,16/10/20 17:26:54,-37.5536647,175.4591688,2,1.038176092
004-0009-00481,16/10/20 17:26:53,-37.553674,175.4591678,4,0.7725175
004-0009-00481,16/10/20 17:26:51,-37.5536878,175.4591658,4,1.017688462
004-0009-00481,16/10/20 17:26:50,-37.5536969,175.4591646,3,1.02637663
004-0009-00481,16/10/20 17:26:49,-37.5537061,175.4591637,0,1.590684044
004-0009-00481,16/10/20 17:26:48,-37.5537204,175.4591639,355,1.093600891
004-0009-00481,16/10/20 17:26:47,-37.5537302,175.4591649,356,0.802063337
004-0009-00481,16/10/20 17:26:45,-37.5537446,175.4591659,0,1.079252519
004-0009-00481,16/10/20 17:26:44,-37.5537543,175.4591656,6,0.993110571
004-0009-00481,16/10/20 17:26:43,-37.5537632,175.4591647,8,1.682898296
004-0009-00481,16/10/20 17:26:42,-37.5537782,175.4591622,7,0.793123679
004-0009-00481,16/10/20 17:26:40,-37.5537923,175.4591595,5,1.201853521
004-0009-00481,16/10/20 17:26:39,-37.553803,175.4591576,6,0.774849491
004-0009-00481,16/10/20 17:26:37,-37.5538169,175.4591564,359,1.223528166
004-0009-00481,16/10/20 17:26:36,-37.5538279,175.4591564,3,1.731328127
004-0009-00481,16/10/20 17:26:35,-37.5538434,175.4591546,8,1.764868188
004-0009-00481,16/10/20 17:26:34,-37.5538591,175.4591517,2,0.651646499
004-0009-00481,16/10/20 17:26:32,-37.5538708,175.4591509,358,1.123972974
004-0009-00481,16/10/20 17:26:31,-37.5538809,175.4591513,354,1.753481907
004-0009-00481,16/10/20 17:26:30,-37.5538966,175.4591531,357,1.737416784
004-0009-00481,16/10/20 17:26:29,-37.5539122,175.4591541,357,0.529239244
004-0009-00481,16/10/20 17:26:27,-37.5539217,175.4591548,355,1.287866758
004-0009-00481,16/10/20 17:26:26,-37.5539332,175.4591565,0,2.014818156
004-0009-00481,16/10/20 17:26:25,-37.5539513,175.4591556,7,1.174397212
004-0009-00481,16/10/20 17:26:24,-37.5539618,175.4591542,8,1.182452163
004-0009-00481,16/10/20 17:26:23,-37.5539723,175.4591521,10,2.029887613
004-0009-00481,16/10/20 17:26:22,-37.5539903,175.4591483,8,0.645876289
004-0009-00481,16/10/20 17:26:20,-37.5540017,175.4591455,5,1.251854872
004-0009-00481,16/10/20 17:26:19,-37.5540129,175.4591441,2,1.168742285
004-0009-00481,16/10/20 17:26:18,-37.5540234,175.4591436,5,1.986221095
004-0009-00481,16/10/20 17:26:17,-37.5540412,175.4591418,358,0.928862961
004-0009-00481,16/10/20 17:26:15,-37.5540579,175.4591415,1,1.157326016
004-0009-00481,16/10/20 17:26:14,-37.5540683,175.4591411,3,1.981475441
004-0009-00481,16/10/20 17:26:13,-37.5540861,175.4591402,2,1.179561878
004-0009-00481,16/10/20 17:26:12,-37.5540967,175.4591398,359,1.156823757
004-0009-00481,16/10/20 17:26:11,-37.5541071,175.4591399,359,1.991325336
004-0009-00481,16/10/20 17:26:10,-37.554125,175.4591403,2,0.667741732
004-0009-00481,16/10/20 17:26:08,-37.554137,175.4591398,0,1.790886852
004-0009-00481,16/10/20 17:26:07,-37.5541531,175.45914,355,1.254729776
004-0009-00481,16/10/20 17:26:06,-37.5541643,175.4591417,356,0.59032264
004-0009-00481,16/10/20 17:26:04,-37.5541749,175.4591424,356,1.125109902
004-0009-00481,16/10/20 17:26:03,-37.554185,175.4591431,353,1.865052507
004-0009-00481,16/10/20 17:26:02,-37.5542017,175.459145,358,1.814093067
004-0009-00481,16/10/20 17:26:01,-37.554218,175.4591457,358,1.201572428
004-0009-00481,16/10/20 17:26:00,-37.5542288,175.459146,356,1.338931275
004-0009-00481,16/10/20 17:25:59,-37.5542408,175.4591472,354,1.262095702
004-0009-00481,16/10/20 17:25:58,-37.5542521,175.4591485,357,1.814776354
004-0009-00481,16/10/20 17:25:57,-37.5542684,175.4591494,2,0.924717151
004-0009-00481,16/10/20 17:25:55,-37.554285,175.4591482,3,2.005926188
004-0009-00481,16/10/20 17:25:54,-37.554303,175.4591468,7,1.323125232
004-0009-00481,16/10/20 17:25:53,-37.5543148,175.4591449,9,0.86658801
004-0009-00481,16/10/20 17:25:51,-37.5543302,175.4591419,2,0.941138194
004-0009-00481,16/10/20 17:25:49,-37.5543471,175.4591408,358,1.768576255
004-0009-00481,16/10/20 17:25:48,-37.554363,175.4591407,357,1.201798112
004-0009-00481,16/10/20 17:25:47,-37.5543738,175.4591411,354,1.945959872
004-0009-00481,16/10/20 17:25:46,-37.5543912,175.4591434,357,1.193410058
004-0009-00481,16/10/20 17:25:45,-37.5544019,175.4591444,2,0.890110746
004-0009-00481,16/10/20 17:25:43,-37.5544179,175.4591439,359,0.995857207
004-0009-00481,16/10/20 17:25:41,-37.5544358,175.4591445,1,1.234933533
004-0009-00481,16/10/20 17:25:40,-37.5544469,175.4591442,1,1.835376686
004-0009-00481,16/10/20 17:25:39,-37.5544634,175.459144,359,1.323664286
004-0009-00481,16/10/20 17:25:38,-37.5544753,175.4591441,358,0.945617481
004-0009-00481,16/10/20 17:25:36,-37.5544923,175.4591445,357,1.816120807
004-0009-00481,16/10/20 17:25:35,-37.5545086,175.4591457,359,0.973270992
004-0009-00481,16/10/20 17:25:33,-37.5545261,175.4591458,2,1.671787968
004-0009-00481,16/10/20 17:25:32,-37.5545411,175.4591446,356,1.169537584
004-0009-00481,16/10/20 17:25:31,-37.5545516,175.4591453,358,1.624170265
004-0009-00481,16/10/20 17:25:30,-37.5545662,175.459145,358,1.179069092
004-0009-00481,16/10/20 17:25:29,-37.5545768,175.4591451,359,0.814312421
004-0009-00481,16/10/20 17:25:27,-37.5545914,175.4591437,0,1.769342807
004-0009-00481,16/10/20 17:25:26,-37.5546073,175.4591431,3,0.563432342
004-0009-00481,16/10/20 17:25:24,-37.5546174,175.4591421,1,1.802009299
004-0009-00481,16/10/20 17:25:23,-37.5546336,175.4591419,3,1.391737633
004-0009-00481,16/10/20 17:25:22,-37.5546461,175.4591412,5,1.885053015
004-0009-00481,16/10/20 17:25:21,-37.554663,175.4591396,2,1.168045932
004-0009-00481,16/10/20 17:25:20,-37.5546735,175.4591394,2,1.201572424
004-0009-00481,16/10/20 17:25:19,-37.5546843,175.4591391,4,0.691322305
004-0009-00481,16/10/20 17:25:17,-37.5546967,175.459138,5,0.25895268
004-0009-00481,16/10/20 17:25:16,-37.5546986,175.4591363,345,0.03692544
004-0009-00481,16/10/20 17:25:14,-37.5546988,175.4591355,345,0.06261396
004-0009-00481,16/10/20 17:25:13,-37.5546987,175.4591348,345,0.041649134
004-0009-00481,16/10/20 17:25:12,-37.5546989,175.4591344,345,0.259587013
004-0009-00481,16/10/20 17:25:11,-37.5547012,175.4591349,346,0.785312932
004-0009-00481,16/10/20 17:25:10,-37.554708,175.4591373,347,1.574795832
004-0009-00481,16/10/20 17:25:09,-37.5547219,175.4591407,350,0.627054988
004-0009-00481,16/10/20 17:25:07,-37.5547441,175.4591462,359,1.179167663
004-0009-00481,16/10/20 17:25:06,-37.5547547,175.459146,1,1.123455802
004-0009-00481,16/10/20 17:25:05,-37.5547648,175.4591461,355,0.88119226
004-0009-00481,16/10/20 17:25:03,-37.5547806,175.4591476,355,1.177461082
004-0009-00481,16/10/20 17:25:02,-37.5547911,175.4591493,348,1.304911647
004-0009-00481,16/10/20 17:25:01,-37.5548025,175.4591528,352,1.218223546
004-0009-00481,16/10/20 17:25:00,-37.5548133,175.4591551,358,1.212692745
004-0009-00481,16/10/20 17:24:59,-37.5548242,175.4591554,354,1.965545286
004-0009-00481,16/10/20 17:24:58,-37.5548418,175.4591574,2,0.973748554
004-0009-00481,16/10/20 17:24:56,-37.5548593,175.4591567,3,1.859622739
004-0009-00481,16/10/20 17:24:55,-37.554876,175.4591557,1,0.656978805
004-0009-00481,16/10/20 17:24:53,-37.5548878,175.459155,359,1.334757999
004-0009-00481,16/10/20 17:24:52,-37.5548998,175.459155,1,1.835482226
004-0009-00481,16/10/20 17:24:51,-37.5549163,175.4591547,359,1.290296092
004-0009-00481,16/10/20 17:24:50,-37.5549279,175.4591546,358,1.890907165
004-0009-00481,16/10/20 17:24:49,-37.5549449,175.4591546,359,0.578462112
004-0009-00481,16/10/20 17:24:47,-37.5549553,175.4591548,355,1.887209744
004-0009-00481,16/10/20 17:24:46,-37.5549722,175.4591567,358,1.280232979
004-0009-00481,16/10/20 17:24:45,-37.5549837,175.4591573,359,1.192240743
004-0009-00481,16/10/20 17:24:44,-37.5549944,175.4591581,359,1.87986662
004-0009-00481,16/10/20 17:24:43,-37.5550113,175.4591583,0,0.661832143
004-0009-00481,16/10/20 17:24:41,-37.5550232,175.4591584,0,1.212692743
004-0009-00481,16/10/20 17:24:40,-37.5550341,175.4591581,3,1.194091542
004-0009-00481,16/10/20 17:24:39,-37.5550448,175.459157,0,0.978832427
004-0009-00481,16/10/20 17:24:37,-37.5550624,175.4591569,359,1.913234132
004-0009-00481,16/10/20 17:24:36,-37.5550796,175.4591571,359,0.889882203
004-0009-00481,16/10/20 17:24:34,-37.5550956,175.4591573,0,1.33522233
004-0009-00481,16/10/20 17:24:33,-37.5551076,175.4591569,359,1.212532995
004-0009-00481,16/10/20 17:24:32,-37.5551185,175.4591571,0,1.813131754
004-0009-00481,16/10/20 17:24:31,-37.5551348,175.4591569,4,1.979150561
004-0009-00481,16/10/20 17:24:30,-37.5551525,175.4591546,3,0.840718925
004-0009-00481,16/10/20 17:24:28,-37.5551676,175.4591537,0,1.212405182
004-0009-00481,16/10/20 17:24:27,-37.5551785,175.4591537,356,1.113168762
004-0009-00481,16/10/20 17:24:26,-37.5551885,175.4591542,355,1.22735357
004-0009-00481,16/10/20 17:24:25,-37.5551995,175.4591553,357,1.3246883
004-0009-00481,16/10/20 17:24:24,-37.5552114,175.4591559,0,1.792184357
004-0009-00481,16/10/20 17:24:23,-37.5552275,175.4591551,2,1.237785075
004-0009-00481,16/10/20 17:24:22,-37.5552386,175.4591541,2,0.987929586
004-0009-00481,16/10/20 17:24:20,-37.5552563,175.4591522,12,1.885295038
004-0009-00481,16/10/20 17:24:19,-37.5552728,175.4591473,13,1.34427236
004-0009-00481,16/10/20 17:24:18,-37.5552846,175.459144,14,0.633067348
004-0009-00481,16/10/20 17:24:16,-37.5552956,175.4591403,14,1.174703758
004-0009-00481,16/10/20 17:24:15,-37.5553057,175.4591364,8,1.255684181
004-0009-00481,16/10/20 17:24:14,-37.5553168,175.4591338,3,1.348756477
004-0009-00481,16/10/20 17:24:13,-37.5553289,175.4591328,356,1.813238588
004-0009-00481,16/10/20 17:24:12,-37.5553452,175.4591331,359,1.190191767
004-0009-00481,16/10/20 17:24:11,-37.5553559,175.459133,358,1.346341473
004-0009-00481,16/10/20 17:24:10,-37.555368,175.4591334,1,1.22381311
004-0009-00481,16/10/20 17:24:09,-37.555379,175.4591331,3,1.202861438
004-0009-00481,16/10/20 17:24:08,-37.5553898,175.4591324,3,1.7929624
004-0009-00481,16/10/20 17:24:07,-37.5554059,175.4591314,2,0.584105879
004-0009-00481,16/10/20 17:24:05,-37.5554164,175.4591317,359,1.847170439
004-0009-00481,16/10/20 17:24:04,-37.555433,175.4591323,359,0.840200337
004-0009-00481,16/10/20 17:24:02,-37.5554481,175.4591329,355,1.226090277
004-0009-00481,16/10/20 17:24:01,-37.5554591,175.4591338,358,1.725163157
004-0009-00481,16/10/20 17:24:00,-37.5554746,175.4591345,2,1.19175319
004-0009-00481,16/10/20 17:23:59,-37.5554853,175.4591338,1,0.913368634
004-0009-00481,16/10/20 17:23:57,-37.5555017,175.4591327,3,1.191753188
004-0009-00481,16/10/20 17:23:56,-37.5555124,175.459132,0,1.87996966
004-0009-00481,16/10/20 17:23:55,-37.5555293,175.4591323,3,1.749500105
004-0009-00481,16/10/20 17:23:54,-37.555545,175.4591311,3,0.918922353
004-0009-00481,16/10/20 17:23:52,-37.5555615,175.45913,2,0.892620751
004-0009-00481,16/10/20 17:23:50,-37.5555775,175.4591284,3,1.151367991
004-0009-00481,16/10/20 17:23:49,-37.5555991,175.4591276,359,0.851090324
004-0009-00481,16/10/20 17:23:47,-37.5556144,175.4591272,358,1.846939711
004-0009-00481,16/10/20 17:23:46,-37.555631,175.4591277,357,0.818119574
004-0009-00481,16/10/20 17:23:44,-37.5556457,175.4591284,5,1.130160259
004-0009-00481,16/10/20 17:23:43,-37.5556558,175.459127,4,1.816653935
004-0009-00481,16/10/20 17:23:42,-37.5556721,175.4591257,359,1.123731642
