Serial Number,NZDT,Heading
004-0009-00481,16/10/20 17:27:15,373.4618058
004-0009-00481,16/10/20 17:27:14,364.9354114
004-0009-00481,16/10/20 17:27:13,342.9403204
004-0009-00481,16/10/20 17:27:12,351.1690823
004-0009-00481,16/10/20 17:27:10,345.6526912
004-0009-00481,16/10/20 17:27:09,344.0289886
004-0009-00481,16/10/20 17:27:08,346.3031928
004-0009-00481,16/10/20 17:27:06,345.8248931
004-0009-00481,16/10/20 17:27:05,338.2208764
004-0009-00481,16/10/20 17:27:04,360.8856885
004-0009-00481,16/10/20 17:27:03,348.9384403
004-0009-00481,16/10/20 17:27:01,343.1905279
004-0009-00481,16/10/20 17:27:00,339.8015927
004-0009-00481,16/10/20 17:26:59,342.1938554
004-0009-00481,16/10/20 17:26:58,346.2568273
004-0009-00481,16/10/20 17:26:57,345.7965603
004-0009-00481,16/10/20 17:26:55,339.0482655
004-0009-00481,16/10/20 17:26:54,346.9272395
004-0009-00481,16/10/20 17:26:53,347.4327089
004-0009-00481,16/10/20 17:26:51,348.3123018
004-0009-00481,16/10/20 17:26:50,353.7093507
004-0009-00481,16/10/20 17:26:49,347.1742658
004-0009-00481,16/10/20 17:26:48,336.1160721
004-0009-00481,16/10/20 17:26:47,344.1191788
004-0009-00481,16/10/20 17:26:45,346.0030935
004-0009-00481,16/10/20 17:26:44,356.1246268
004-0009-00481,16/10/20 17:26:43,355.2213542
004-0009-00481,16/10/20 17:26:42,351.68769
004-0009-00481,16/10/20 17:26:40,348.6987231
004-0009-00481,16/10/20 17:26:39,349.0672602
004-0009-00481,16/10/20 17:26:37,340.8073587
004-0009-00481,16/10/20 17:26:36,344.8299421
004-0009-00481,16/10/20 17:26:35,350.1199551
004-0009-00481,16/10/20 17:26:34,351.4704853
004-0009-00481,16/10/20 17:26:32,344.8942915
004-0009-00481,16/10/20 17:26:31,336.8638166
004-0009-00481,16/10/20 17:26:30,344.9578448
004-0009-00481,16/10/20 17:26:29,338.7430069
004-0009-00481,16/10/20 17:26:27,341.5448298
004-0009-00481,16/10/20 17:26:26,346.1430058
004-0009-00481,16/10/20 17:26:25,346.6339123
004-0009-00481,16/10/20 17:26:24,351.5939931
004-0009-00481,16/10/20 17:26:23,352.4819726
004-0009-00481,16/10/20 17:26:22,352.2969461
004-0009-00481,16/10/20 17:26:20,349.7188461
004-0009-00481,16/10/20 17:26:19,349.9001748
004-0009-00481,16/10/20 17:26:18,349.6503121
004-0009-00481,16/10/20 17:26:17,342.3841694
004-0009-00481,16/10/20 17:26:15,341.6434376
004-0009-00481,16/10/20 17:26:14,344.0291041
